player,team,GP,Goals,Assists,Points,+/-,PIM,GWG,OTG,PPGoals,PPAssists,ShGoals,ShAssists,S,S%,P/G
"Pirri,Brandon",VGK,31,12,6,18,7,6,3,0,0,1,0,0,82,14.6%,0.6
"Brodin,Jonas",MIN,82,4,14,18,-15,30,2,0,0,1,1,0,111,3.6%,0.2
"Girgensons,Zemgus",BUF,72,5,13,18,-11,17,0,0,0,0,0,0,78,6.4%,0.3
"Khaira,Jujhar",EDM,60,3,15,18,-12,43,0,0,0,0,1,1,64,4.7%,0.3
"Raffl,Michael",PHI,67,6,12,18,-1,32,1,0,0,0,1,0,65,9.2%,0.3
"Carpenter,Ryan",VGK,68,5,13,18,-6,8,0,0,0,0,1,1,102,4.9%,0.3
"Czarnik,Austin",CGY,54,6,12,18,-1,8,3,0,0,3,0,0,65,9.2%,0.3
"Fischer,Christian",ARI,71,11,7,18,-13,27,0,0,0,0,0,0,116,9.5%,0.3
"Garland,Conor",ARI,47,13,5,18,1,12,2,0,0,2,0,0,118,11.0%,0.4
"Grzelcyk,Matt",BOS,66,3,15,18,9,68,0,0,0,5,0,0,90,3.3%,0.3
"Toews,Devon",NYI,48,5,13,18,7,4,2,1,0,3,0,0,81,6.2%,0.4
"Borgstrom,Henrik",FLA,50,8,10,18,-14,4,0,0,0,4,0,0,54,14.8%,0.4
"Rasmussen,Michael",DET,62,8,10,18,-8,29,0,0,0,0,0,0,74,10.8%,0.3
"Bouwmeester,Jay",STL,78,3,14,17,-3,40,1,0,0,0,0,0,82,3.7%,0.2
"Callahan,Ryan",TB,52,7,10,17,7,14,3,0,0,0,0,1,76,9.2%,0.3
"Helm,Darren",DET,61,7,10,17,-11,20,0,0,0,0,1,3,107,6.5%,0.3
"Cogliano,Andrew",DAL,78,6,11,17,1,22,1,0,0,0,0,0,106,5.7%,0.2
"Stralman,Anton",TB,47,2,15,17,12,8,0,0,0,1,0,0,57,3.5%,0.4
"Vatanen,Sami",NJ,50,4,13,17,-17,22,0,0,0,2,0,0,107,3.7%,0.3
"Kulak,Brett",MTL,57,6,11,17,12,31,3,0,0,0,1,0,102,5.9%,0.3
"Goodrow,Barclay",SJ,82,7,10,17,4,76,3,0,0,0,1,0,84,8.3%,0.2
"Andrighetto,Sven",COL,64,7,10,17,10,14,1,0,0,0,0,0,95,7.4%,0.3
"Harrington,Scott",CBJ,73,2,15,17,6,23,0,0,0,0,0,0,54,3.7%,0.2
"Paquette,Cedric",TB,80,13,4,17,7,80,1,0,0,0,2,0,87,14.9%,0.2
"Lemieux,Brendan",NYR,63,12,5,17,6,108,1,0,0,0,0,0,67,17.9%,0.3
"Nosek,Tomas",VGK,68,8,9,17,-10,18,1,0,0,0,1,0,116,6.9%,0.3
"Dermott,Travis",TOR,64,4,13,17,-5,22,0,0,0,0,0,0,98,4.1%,0.3
"Kunin,Luke",MIN,49,6,11,17,-9,27,1,0,0,1,0,0,88,6.8%,0.4
"Benning,Matt",EDM,70,5,12,17,11,33,0,0,0,1,0,1,94,5.3%,0.2
"Aston-Reese,Zachary",PIT,43,8,9,17,12,26,1,0,0,0,1,0,76,10.5%,0.4
"Girardi,Dan",TB,62,4,12,16,6,12,0,0,0,0,0,1,75,5.3%,0.3
"Russell,Kris",EDM,72,3,13,16,5,27,0,0,0,0,0,1,63,4.8%,0.2
"Grabner,Michael",ARI,41,9,7,16,-2,8,1,1,0,0,6,3,65,13.8%,0.4
"Braun,Justin",PHI,78,2,14,16,-14,35,0,0,0,1,0,0,105,1.9%,0.2
"McNabb,Brayden",VGK,81,4,12,16,11,52,1,0,0,0,0,1,84,4.8%,0.2
"Watson,Austin",NSH,37,7,9,16,11,39,1,0,0,0,0,0,64,10.9%,0.4
"Biega,Alex",VAN,41,2,14,16,0,22,0,0,0,1,0,0,91,2.2%,0.4
"Manson,Josh",ANA,74,3,13,16,-8,62,0,0,0,0,0,1,96,3.1%,0.2
"Karlsson,Melker",SJ,79,12,4,16,-1,26,2,0,0,0,0,0,79,15.2%,0.2
"Cernak,Erik",TB,58,5,11,16,25,58,1,0,0,0,0,0,107,4.7%,0.3
"Motte,Tyler",VAN,74,9,7,16,-12,10,1,0,0,0,2,0,114,7.9%,0.2
"Cholowski,Dennis",DET,52,7,9,16,-20,16,1,0,0,5,0,0,71,9.9%,0.3
"Malgin,Denis",FLA,50,7,9,16,-10,14,0,0,0,1,0,0,66,10.6%,0.3
"Fehr,Eric",MIN,72,7,8,15,-8,30,0,0,0,0,0,1,67,10.4%,0.2
"Holden,Nick",VGK,61,3,12,15,5,14,0,0,0,0,0,2,77,3.9%,0.3
"Sceviour,Colton",FLA,59,5,10,15,-2,15,0,0,0,1,0,0,116,4.3%,0.3
"Cole,Ian",COL,71,2,13,15,-1,115,0,0,0,0,0,0,82,2.4%,0.2
"Schultz,Justin",PIT,29,2,13,15,0,4,0,0,0,5,0,0,47,4.3%,0.5
"Weegar,MacKenzie",FLA,64,4,11,15,-3,64,2,0,0,1,0,0,79,5.1%,0.2
"Merrill,Jon",VGK,57,3,12,15,16,53,0,0,0,0,1,0,72,4.2%,0.3
"Bellemare,Pierre-Edouard",VGK,76,6,9,15,2,6,0,0,0,0,2,0,108,5.6%,0.2
"Foegele,Warren",CAR,77,10,5,15,-17,20,3,0,0,0,0,0,106,9.4%,0.2
"Lajoie,Max",OTT,56,7,8,15,-25,20,0,0,0,4,0,0,79,8.9%,0.3
"Chara,Zdeno",BOS,62,5,9,14,22,57,2,0,0,2,0,0,99,5.1%,0.2
"Dubinsky,Brandon",CBJ,61,6,8,14,-16,36,0,0,0,0,0,1,63,9.5%,0.2
"Martin,Matt",NYI,67,6,8,14,5,53,1,0,0,0,0,0,62,9.7%,0.2
"Baertschi,Sven",VAN,26,9,5,14,-9,6,0,0,0,4,0,0,43,20.9%,0.5
"Haan,Calvin",CAR,74,1,13,14,1,20,1,0,0,0,0,0,102,1.0%,0.2
"Larsson,Johan",BUF,73,6,8,14,-8,37,0,0,0,0,1,0,79,7.6%,0.2
"Grant,Derek",ANA,56,4,10,14,-6,14,1,0,0,0,0,1,74,5.4%,0.3
"Zadorov,Nikita",COL,70,7,7,14,19,75,0,0,0,0,0,0,100,7.0%,0.2
"Maatta,Olli",CHI,60,1,13,14,9,12,1,0,0,3,0,0,74,1.4%,0.2
"Gauthier,Frederik",TOR,70,3,11,14,3,12,0,0,0,0,0,0,46,6.5%,0.2
"Riemsdyk,Trevor",CAR,78,3,11,14,-4,10,1,0,0,0,0,0,102,2.9%,0.2
"McCabe,Jake",BUF,59,4,10,14,-4,35,0,0,0,0,1,0,64,6.3%,0.2
"Acciari,Noel",BOS,72,6,8,14,-3,47,2,0,0,0,0,0,99,6.1%,0.2
"Zaitsev,Nikita",TOR,81,3,11,14,2,18,0,0,0,0,0,0,71,4.2%,0.2
"Ek,Joel",MIN,58,7,7,14,-7,20,2,0,0,0,0,0,111,6.3%,0.2
"Balcers,Rudolfs",OTT,36,5,9,14,-7,10,1,0,0,1,0,0,48,10.4%,0.4
"Forbort,Derek",LA,81,2,12,14,-13,52,1,0,0,0,0,0,75,2.7%,0.2
"Thompson,Nate",MTL,78,5,8,13,-1,17,0,0,0,0,0,0,71,7.0%,0.2
"Stafford,Drew",NJ,57,5,8,13,-7,18,0,0,0,1,0,0,77,6.5%,0.2
"Johnson,Jack",PIT,82,1,12,13,-4,41,0,0,0,1,0,2,86,1.2%,0.2
"Sobotka,Vladimir",BUF,69,5,8,13,-20,26,0,0,0,0,0,1,71,7.0%,0.2
"Gagner,Sam",EDM,32,6,7,13,-6,14,1,0,0,0,0,0,68,8.8%,0.4
"Staal,Marc",NYR,79,3,10,13,-9,32,0,0,0,0,0,0,84,3.6%,0.2
"Beagle,Jay",VAN,57,3,10,13,-8,18,0,0,0,0,1,0,45,6.7%,0.2
"Moore,John",BOS,61,4,9,13,0,26,1,0,0,1,0,0,97,4.1%,0.2
"Scandella,Marco",BUF,63,6,7,13,-13,26,1,0,0,0,0,1,83,7.2%,0.2
"Smith,Brendan",NYR,63,4,9,13,-7,71,0,0,0,0,0,1,66,6.1%,0.2
"Murphy,Connor",CHI,52,5,8,13,12,40,1,0,0,0,0,0,84,6.0%,0.3
"Grimaldi,Rocco",NSH,53,5,8,13,-2,10,0,0,0,0,0,0,81,6.2%,0.3
"Amadio,Michael",LA,43,6,7,13,-1,6,0,0,0,0,0,0,37,16.2%,0.3
"Mangiapane,Andrew",CGY,44,8,5,13,11,12,1,0,0,0,0,0,65,12.3%,0.3
"Heed,Tim",SJ,37,2,11,13,9,10,0,0,0,2,0,0,41,4.9%,0.4
"Mete,Victor",MTL,71,0,13,13,17,6,0,0,0,0,0,0,65,0.0%,0.2
"Seney,Brett",NJ,51,5,8,13,-14,31,0,0,0,1,0,0,49,10.2%,0.3
"Terry,Troy",ANA,32,4,9,13,8,2,0,0,0,4,0,0,25,16.0%,0.4
"Lindholm,Par",WPG,65,1,12,13,5,18,0,0,0,0,0,0,65,1.5%,0.2
"Lewis,Trevor",LA,44,3,9,12,-9,9,1,0,0,0,0,0,87,3.4%,0.3
"Engelland,Deryk",VGK,74,2,10,12,-3,18,1,0,0,0,0,0,105,1.9%,0.2
"Kruger,Marcus",CHI,74,4,8,12,-2,30,2,0,0,0,0,1,74,5.4%,0.2
"Tanev,Christopher",VAN,55,2,10,12,3,18,0,0,0,0,0,0,51,3.9%,0.2
"Nash,Riley",CBJ,78,3,9,12,-8,19,1,0,0,0,0,0,79,3.8%,0.2
"Oleksiak,Jamie",DAL,57,4,8,12,5,45,0,0,0,0,0,0,55,7.3%,0.2
"Beaulieu,Nathan",WPG,48,3,9,12,6,39,0,0,0,1,0,0,60,5.0%,0.3
"Pageau,Jean-Gabriel",OTT,39,4,8,12,-12,14,0,0,0,0,0,0,83,4.8%,0.3
"Nordstrom,Joakim",BOS,70,7,5,12,0,13,3,1,0,0,0,0,103,6.8%,0.2
"Hunt,Brad",MIN,42,5,7,12,-2,8,1,0,0,4,0,0,75,6.7%,0.3
"Pitlick,Tyler",PHI,47,8,4,12,-2,6,1,0,0,0,0,0,75,10.7%,0.3
"Pouliot,Derrick",VAN,62,3,9,12,-1,30,1,1,0,0,0,0,58,5.2%,0.2
"Hawryluk,Jayce",FLA,42,7,5,12,-8,16,0,0,0,1,0,0,35,20.0%,0.3
"Thompson,Tage",BUF,65,7,5,12,-22,20,0,0,0,0,0,0,108,6.5%,0.2
"Jokiharju,Henri",CHI,38,0,12,12,-7,16,0,0,0,1,0,0,62,0.0%,0.3
"Wolanin,Christian",OTT,30,4,8,12,3,6,1,0,0,3,0,0,36,11.1%,0.4
"Sherwood,Kiefer",ANA,50,6,6,12,1,8,1,0,0,0,0,0,60,10.0%,0.2
"Gaudette,Adam",VAN,56,5,7,12,-8,18,1,0,0,2,0,0,55,9.1%,0.2
"Ladd,Andrew",NYI,26,3,8,11,3,16,0,0,0,0,0,1,34,8.8%,0.4
